stores,,,,,,,,,,,,,,,,
MONTH,CITY,STORE,STATUS,ZONE MAPPING,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,KITCHEN EBITDA,VARIANCE,REVENUE COHORT,CM COHORT,EBITDA CATEGORY,EBITDA COHORT
Oct-2023,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,11798,4299381.33,1018041.06,3419528.28,1374692.48,1931035.48,469555.67,26560.87,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Nov-2023,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,12285,5458198.9,823583.44,4687267.27,1481917.54,3140594.55,1764936.11,13402.61,More than 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Dec-2023,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,9913,4093710.47,822346.67,3377578.39,1315413.81,2011000.09,667253.02,25097.45,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%
Jan-2024,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,7216,3281327.92,716453.2,2688756.95,998520.85,1572255.01,300434.42,12367.08,INR 30 to 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Feb-2024,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,9208,3290314.13,674658.1,2673002.38,802837.73,1792908.88,430870.05,26922.38,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Mar-2024,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,7908,3375279.82,1004809.51,2463103.14,951619.75,1362313.44,-35813.6,26493.62,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Oct-2023,Bangalore,Horne LLC,Active,South,12621,5061091.79,782315.64,4358395.76,1910390.46,2321676.78,1060177.57,20264.4,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Nov-2023,Bangalore,Horne LLC,Active,South,13104,5113414.8,1465667.47,3709354.04,1224901.96,2341399.15,1015851.83,27604.96,INR 30 to 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Dec-2023,Bangalore,Horne LLC,Active,South,11255,4261032.17,1253869.95,3129110.63,1208809.32,1792640.63,428164.87,19943.08,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Jan-2024,Bangalore,Horne LLC,Active,South,11649,5401210.78,1329389.86,4134533.96,1303552.3,2747630.42,1526111.29,10955.99,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Feb-2024,Bangalore,Horne LLC,Active,South,12704,4847554.02,809986.48,4133215.85,1858919.87,2222731.65,654756.83,25838.13,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Mar-2024,Bangalore,Horne LLC,Active,South,12579,4381479.54,1021892.64,3449797.25,1169000.42,2167343.34,898983.85,22502.92,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Oct-2023,Hyderabad,Jenkins Ltd,Active,North,11959,4774557.75,1210324.86,3681162.53,1411414.58,2199809.87,933387.18,10895.03,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%
Nov-2023,Hyderabad,Jenkins Ltd,Active,North,9570,3955403.5,1161294.77,2886289.29,1286644.4,1485177.66,-131446.3,18896.11,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Dec-2023,Hyderabad,Jenkins Ltd,Active,North,11597,5571768.5,1567659.16,4069779.1,1593453.45,2412429.66,1133829.68,22324.49,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Jan-2024,Hyderabad,Jenkins Ltd,Active,North,10665,4185717.69,674527.29,3607253.21,1674821.89,1868655.03,501853.15,21216.25,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Feb-2024,Hyderabad,Jenkins Ltd,Active,North,7615,3619289.1,652370.64,3051426.85,1193318.51,1766183.42,401243.82,15959.6,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Mar-2024,Hyderabad,Jenkins Ltd,Active,North,7048,2365677.81,704894.3,1788279.82,601578.49,1078697.48,-224625.79,11085.42,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Oct-2023,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,8878,3566125.65,619103.58,3009050.58,1030710.66,1876593.82,395153.62,24511.36,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Nov-2023,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,7303,2431354.56,418924.54,2073515.51,839955.1,1170088.84,-228551.83,15173.64,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Dec-2023,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,7029,3410173.54,976638.77,2544338.83,1169233.95,1227219.28,-80241.21,13583.59,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Jan-2024,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,8018,3322415.98,789351.13,2636910.39,1252779.68,1239123.79,126565.74,29322,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%
Feb-2024,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,10007,4346530.12,700712.32,3769978.98,1762062.77,1873445.29,591747.33,12313.5,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Mar-2024,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,7962,2926744.53,575096.58,2428496.28,1111126.67,1209151.54,-146510.14,13132.95,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Oct-2023,Pune,"Smith, Flynn and Dawson",Active,East,10645,3777403.48,876893.23,3009977.84,1074857.31,1834099.24,586597.67,19870.18,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Nov-2023,Pune,"Smith, Flynn and Dawson",Active,East,7633,2522819.81,703559.84,1966157.38,645718.93,1178295.09,-201087.32,26016.19,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%
Dec-2023,Pune,"Smith, Flynn and Dawson",Active,East,13053,3964260.26,854958.5,3171047.11,1346253.88,1721718.17,467664.44,16108.88,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Jan-2024,Pune,"Smith, Flynn and Dawson",Active,East,13349,4154942.96,880013.17,3376492.33,1253981.4,2058433.1,723032.44,16381.5,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Feb-2024,Pune,"Smith, Flynn and Dawson",Active,East,14501,5588410.81,1300997.27,4402897.45,1892372.21,2425914.52,1189160.38,19246.57,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Mar-2024,Pune,"Smith, Flynn and Dawson",Active,East,9097,4146535.44,784089.19,3447317.33,1185574.09,2180385.73,707505.67,26828.33,INR 30 to 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Oct-2023,Ahmedabad,Drake LLC,Active,North,12361,3971544.22,888746.33,3158828.94,1271805.2,1822334.08,252214.75,17982.19,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%
Nov-2023,Ahmedabad,Drake LLC,Active,North,8914,2864174.24,818862.75,2115468.12,623049.77,1434536.54,96993.24,15129.75,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%
Dec-2023,Ahmedabad,Drake LLC,Active,North,10212,5078186.95,1168178.3,4042964.63,1631378.97,2325144.67,890714.59,10299,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%
Jan-2024,Ahmedabad,Drake LLC,Active,North,8856,4054708.6,826252.89,3327410.62,1470786.36,1798151.39,449303.77,29566.51,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%
Feb-2024,Ahmedabad,Drake LLC,Active,North,8126,2445967.45,523861.45,1982271.29,650026.3,1273352.04,-81128.56,26237.23,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Mar-2024,Ahmedabad,Drake LLC,Active,North,9331,4195734.2,1129110.23,3180690.14,1199762.46,1837933.46,435392.86,20864.4,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%
Oct-2023,Ahmedabad,Barrett PLC,Inactive,North,14280,6011710.96,1455517.05,4713749.75,2111151.29,2529853.63,1264824.9,18802.97,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%
Nov-2023,Ahmedabad,Barrett PLC,Inactive,North,8134,3950042.99,906690.83,3131796.56,1385728.19,1617401.68,310001.34,17854.17,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Dec-2023,Ahmedabad,Barrett PLC,Inactive,North,11990,5117937.86,1039380.76,4196816.57,1458065.72,2607168.76,1199632.17,10642.19,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Jan-2024,Ahmedabad,Barrett PLC,Inactive,North,8872,3315497.73,524165.15,2857203.31,1061154.77,1703116.41,249172.4,29187.6,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Feb-2024,Ahmedabad,Barrett PLC,Inactive,North,11690,5596350.54,1084167.22,4569364.35,2038753.63,2457397.33,1010596.79,14599.23,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%
Mar-2024,Ahmedabad,Barrett PLC,Inactive,North,13862,5413854.36,1009634.91,4521686.86,1390255.87,3068530.57,1705357.9,16960.6,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Oct-2023,Ahmedabad,"Duran, Parker and Hale",Inactive,South,7875,3696543.96,1013543.59,2752623.94,1129690.94,1539157.4,344117.66,10410.22,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%
Nov-2023,Ahmedabad,"Duran, Parker and Hale",Inactive,South,12984,5668861.97,1397536.74,4370061.26,1645770.6,2663534.52,1354566.48,26901.63,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%
Dec-2023,Ahmedabad,"Duran, Parker and Hale",Inactive,South,10348,4943639.48,919685.4,4097339.22,1929696.04,2062290.09,764647.16,18548.84,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Jan-2024,Ahmedabad,"Duran, Parker and Hale",Inactive,South,13247,5138923.9,1114853.57,4124563.92,1279006.28,2753272.03,1402607.09,24458.02,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Feb-2024,Ahmedabad,"Duran, Parker and Hale",Inactive,South,12967,4323705.73,667012.07,3719036.01,1658017.54,1979512.82,625325.66,25991.57,More than 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Mar-2024,Ahmedabad,"Duran, Parker and Hale",Inactive,South,14980,4745201.77,958801.49,3858081.59,1681146.42,2113958.95,612917.31,24269.15,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Oct-2023,Ahmedabad,Henderson Group,Inactive,West,13794,6408933.88,1001690.15,5484692.99,2672767.39,2669702.51,1238328.13,10144.4,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%
Nov-2023,Ahmedabad,Henderson Group,Inactive,West,12452,5172665.05,1050583.51,4170985.84,1889346.79,2194840.54,1023081.81,18455.18,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%
Dec-2023,Ahmedabad,Henderson Group,Inactive,West,10892,3819269.7,1120356.82,2777587.12,1276581.95,1393008.97,107283.12,20419.83,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Jan-2024,Ahmedabad,Henderson Group,Inactive,West,7065,2870312.86,517194.66,2434589.21,1059677.59,1250759.89,-72578.64,11060.52,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Feb-2024,Ahmedabad,Henderson Group,Inactive,West,8689,3989053.73,628051.36,3419098.86,1095977.31,2216210.85,798650.87,26355.91,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Mar-2024,Ahmedabad,Henderson Group,Inactive,West,8659,3620483.17,874443.67,2819939.95,1270406.51,1491310.12,161600.12,28157.81,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Oct-2023,Ahmedabad,"Thompson, Morris and Allen",Active,South,13029,5819950.78,1212286.44,4738075.81,1521147.26,3141387.51,1867637.78,10336.15,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%
Nov-2023,Ahmedabad,"Thompson, Morris and Allen",Active,South,9215,3062536.65,628837.93,2541702.75,1116671.23,1303640.06,48953.74,10180.11,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Dec-2023,Ahmedabad,"Thompson, Morris and Allen",Active,South,13867,5824529.62,1494804.05,4431322.01,1480773.9,2847365.76,1456291.91,28825.16,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Jan-2024,Ahmedabad,"Thompson, Morris and Allen",Active,South,13030,5678221.27,1595772.9,4175175.55,1245741.37,2803554.77,1438963.75,15930.03,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%
Feb-2024,Ahmedabad,"Thompson, Morris and Allen",Active,South,8516,3205394.25,742174.08,2524705.65,745551.13,1695702.42,336287.97,23056.27,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%
Mar-2024,Ahmedabad,"Thompson, Morris and Allen",Active,South,8259,2688093.13,735351.11,2034589.03,607781.82,1296539.63,-88085.59,14154.99,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%
Oct-2023,Mumbai,Wilkins-Dean,Inactive,South,8916,4391776.11,674689.03,3808262.75,1703992.12,2033052.59,704775.38,23649.86,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%
Nov-2023,Mumbai,Wilkins-Dean,Inactive,South,9291,4570130.66,989852.57,3679831.85,1738016.04,1884399.9,256372.12,27640.96,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Dec-2023,Mumbai,Wilkins-Dean,Inactive,South,9817,4343272.59,926867.58,3486387.11,1513570.86,1900541.42,504800.26,10772.33,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Jan-2024,Mumbai,Wilkins-Dean,Inactive,South,14937,7334361.43,1312500.46,6106393.44,2020549.6,4019268.94,2667861.16,14846.51,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Feb-2024,Mumbai,Wilkins-Dean,Inactive,South,7845,2869822.47,471312.69,2467993.77,1180793.86,1234698.39,-140782.58,13493.99,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Mar-2024,Mumbai,Wilkins-Dean,Inactive,South,8172,2476714.6,529934.13,2001711.41,867822.03,1012899.84,-321328.74,16019.15,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Oct-2023,Mumbai,"Lewis, Ford and Blanchard",Active,East,11367,3783273.47,818611.18,3039664.71,1258123.91,1641792.51,268699.81,23157.68,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Nov-2023,Mumbai,"Lewis, Ford and Blanchard",Active,East,14710,5269923.76,1084867.03,4283671.06,1836555.57,2308141.96,1013977.51,15108.57,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%
Dec-2023,Mumbai,"Lewis, Ford and Blanchard",Active,East,7941,3647550.23,571078.25,3134477.42,1238442.34,1836318.61,439083.15,12320.35,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%
Jan-2024,Mumbai,"Lewis, Ford and Blanchard",Active,East,13071,5245395.44,854326.03,4463957.26,1856993.25,2528875.68,1240446.33,27109.72,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%
Feb-2024,Mumbai,"Lewis, Ford and Blanchard",Active,East,7157,3135722.2,866770.33,2353413.74,1035111.71,1214482.59,-74257.7,22860.26,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Mar-2024,Mumbai,"Lewis, Ford and Blanchard",Active,East,12902,5720224.83,1368491.73,4438249.36,1805014.12,2496872.94,1237519.51,28582.33,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Oct-2023,Bangalore,Cooke-Valentine,Inactive,West,7910,3926024.89,795062.04,3212183.72,1035490.28,2043589.81,613464.67,27876.17,INR 30 to 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Nov-2023,Bangalore,Cooke-Valentine,Inactive,West,7890,3529444.33,771849.55,2860640.76,938180.37,1868158.99,362882.85,11046.98,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Dec-2023,Bangalore,Cooke-Valentine,Inactive,West,7334,2406409.83,674886.13,1797992.77,669248.92,1026561.53,-202581.55,18359.97,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Jan-2024,Bangalore,Cooke-Valentine,Inactive,West,10083,4635703.27,1352598.38,3406361.7,1585740.52,1733783.73,459160.27,11779.51,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Feb-2024,Bangalore,Cooke-Valentine,Inactive,West,12861,5712001.89,898398.3,4874564.56,1781209.18,2947000.42,1729984.6,23772.55,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Mar-2024,Bangalore,Cooke-Valentine,Inactive,West,14046,6445856.31,1005566.28,5565257.8,2700554.05,2727204.8,1305483.96,25076.07,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%
Oct-2023,Ahmedabad,"Scott, Taylor and Dean",Inactive,North,10556,3409227.05,1000550.51,2533797.73,1147143.12,1295602.95,-182398.19,13199.26,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Nov-2023,Ahmedabad,"Scott, Taylor and Dean",Inactive,North,12618,5961763.62,1658205.85,4396117.01,2096276.26,2183568.51,866434.45,21090.25,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%
Dec-2023,Ahmedabad,"Scott, Taylor and Dean",Inactive,North,10422,3710342.9,708879.91,3103803.18,1091429.19,1908828.16,447821.64,29759.51,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Jan-2024,Ahmedabad,"Scott, Taylor and Dean",Inactive,North,12700,6135301.39,1635033.35,4581983.84,1387230.88,3119878.63,1735148.36,12211.73,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Feb-2024,Ahmedabad,"Scott, Taylor and Dean",Inactive,North,13074,5382283.71,832446.57,4633215.3,1893554.47,2622824.31,1141400.67,26421.44,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Mar-2024,Ahmedabad,"Scott, Taylor and Dean",Inactive,North,11370,4803400.64,1036333.29,3833683.12,1234808.51,2492536.24,1233287.6,24142.41,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Oct-2023,Mumbai,Barnes PLC,Active,South,13805,6639255.39,1469027.54,5247089.74,1967440.77,3218008.94,1793711.76,12612.98,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Nov-2023,Mumbai,Barnes PLC,Active,South,12200,5544051.69,1547290.84,4096551.76,1803890.31,2160021.57,717883.41,18758.62,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%
Dec-2023,Mumbai,Barnes PLC,Active,South,8032,2694432.8,752827.52,2044745.11,621978.99,1297651.28,-126425.82,19002.49,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Jan-2024,Mumbai,Barnes PLC,Active,South,11141,5309746.01,1360365.95,4009977.03,1452828.67,2447334.25,1030927.94,11066.98,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Feb-2024,Mumbai,Barnes PLC,Active,South,14310,5982305.13,1069525.53,4951772.49,1564667.57,3306566.77,1826953.82,29588.4,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%
Mar-2024,Mumbai,Barnes PLC,Active,South,14121,6955874.56,1705757.28,5336585.5,1881058.46,3342220.18,2011642.37,21134.37,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Oct-2023,Mumbai,Frederick Inc,Inactive,South,10775,4583983.24,918883.77,3768306.64,1137513.99,2480936.63,1123422.79,19650.77,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%
Nov-2023,Mumbai,Frederick Inc,Inactive,South,10892,4769549.94,1408084.3,3473950.73,1309837.43,2014358.48,618459.34,25999.83,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Dec-2023,Mumbai,Frederick Inc,Inactive,South,7420,3494174.71,883600.52,2709990.37,1216301.85,1374691.62,-123311.71,20184.23,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%
Jan-2024,Mumbai,Frederick Inc,Inactive,South,12458,4040793.11,1130527.53,3004549,996183.7,1909330.26,739768.01,28086.66,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Feb-2024,Mumbai,Frederick Inc,Inactive,South,11857,5091774.18,1464464.92,3707493.32,1540564.36,2075508.9,646027.06,26112.74,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Mar-2024,Mumbai,Frederick Inc,Inactive,South,11364,5434861.75,1333612.78,4236160.17,1875925.71,2288488.25,930541.31,11551.91,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Oct-2023,Bangalore,Bullock-Taylor,Active,South,12367,5898273.39,1167546.73,4828312.25,2188431.74,2517151.26,1273430.09,27167.12,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Nov-2023,Bangalore,Bullock-Taylor,Active,South,11923,5078342.49,1367450.91,3816796.3,1356220.63,2387278.45,1176466.72,23069.78,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Dec-2023,Bangalore,Bullock-Taylor,Active,South,14992,5016977.99,967522.94,4071808.11,1985176.83,1989820.04,664288.58,20372.3,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Jan-2024,Bangalore,Bullock-Taylor,Active,South,14972,5424073.06,912124.03,4587690.84,2016102.54,2511200.92,1162147.63,10111.88,INR 30 to 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Feb-2024,Bangalore,Bullock-Taylor,Active,South,13193,4117701.12,1165404.54,3079533.01,1391121.16,1629949.13,210264.96,27379.28,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%
Mar-2024,Bangalore,Bullock-Taylor,Active,South,10837,3527271.81,817742.88,2808463.91,1162606.67,1508846.69,162666.92,29863.42,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Oct-2023,Mumbai,"Deleon, Leblanc and Berry",Active,South,11355,4719023.86,1081177.18,3765558.15,1401617.48,2232295.28,846923.28,19236.13,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%
Nov-2023,Mumbai,"Deleon, Leblanc and Berry",Active,South,9449,4572428.98,1051567.67,3554408.79,1469604.89,1967737.57,453352.18,28212.25,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%
Dec-2023,Mumbai,"Deleon, Leblanc and Berry",Active,South,9264,4089972.24,907655.21,3300463.29,1399639.26,1803408.01,604267.31,22890.3,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Jan-2024,Mumbai,"Deleon, Leblanc and Berry",Active,South,12594,5477568.85,867350.02,4680071.24,2015093.77,2608472.87,1136828.69,29955.69,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Feb-2024,Mumbai,"Deleon, Leblanc and Berry",Active,South,7267,2533110.86,659007.91,1935477.38,676266.83,1149849.23,-336804.37,13467.79,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Mar-2024,Mumbai,"Deleon, Leblanc and Berry",Active,South,9746,3454852.6,802815.68,2708629.12,1230399.37,1332828.17,-136761.49,13162.65,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%
Oct-2023,Bangalore,Smith-Owen,Inactive,North,11971,4552178.51,702167.41,3890043.44,1455274.91,2287988.51,991350.34,24399.78,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%
Nov-2023,Bangalore,Smith-Owen,Inactive,North,12465,5057513.83,1462609.53,3729474.44,1704917.64,1953488.76,555182.99,16773.59,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Dec-2023,Bangalore,Smith-Owen,Inactive,North,8920,4385227.54,800367.96,3683038.09,1533481.05,2020328.04,652672.84,21498.21,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Jan-2024,Bangalore,Smith-Owen,Inactive,North,11053,5068891.77,1200339.41,3963972.09,1400997.19,2471467.09,1163035.46,22243,More than 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Feb-2024,Bangalore,Smith-Owen,Inactive,North,13957,6267955.87,1536454.69,4837315.92,2262829.61,2489467.37,1209788.88,25058.6,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Mar-2024,Bangalore,Smith-Owen,Inactive,North,9953,4556385.65,1202883.87,3488138.14,1181727.54,2189384.23,898161.62,22969.95,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Oct-2023,Bangalore,"Nixon, Campbell and Kramer",Inactive,West,13905,6834383.22,1823486.73,5117759.89,1710732.94,3305083.98,1857999.2,26750.39,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Nov-2023,Bangalore,"Nixon, Campbell and Kramer",Inactive,West,7058,3078893.98,479382.79,2682333.33,986552.74,1574368.44,140889.95,12609.07,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%
Dec-2023,Bangalore,"Nixon, Campbell and Kramer",Inactive,West,8691,4302806.84,1208322.95,3197379.16,1301909.94,1759274.81,600173.71,14591.75,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Jan-2024,Bangalore,"Nixon, Campbell and Kramer",Inactive,West,7114,2292578.02,416833.81,1998931.05,594318.54,1269052.25,-35351.72,26469.06,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Feb-2024,Bangalore,"Nixon, Campbell and Kramer",Inactive,West,13539,5775001.92,1075959.66,4744650.07,2010312.77,2667575.1,1225709.9,16779.66,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Mar-2024,Bangalore,"Nixon, Campbell and Kramer",Inactive,West,10693,3232349.92,692102.94,2617848.09,1056705.45,1472851,36807.23,18393.09,More than 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Oct-2023,Ahmedabad,"Garcia, Garcia and Watkins",Inactive,West,12820,5026534.37,1437820.77,3620229.76,1262749.42,2237418.96,979163.55,11341.35,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Nov-2023,Ahmedabad,"Garcia, Garcia and Watkins",Inactive,West,8952,2964756.5,796014.12,2281036.38,881144.11,1268776.64,-34827.43,15696.01,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Dec-2023,Ahmedabad,"Garcia, Garcia and Watkins",Inactive,West,13991,6814724.96,1910001.53,4944136.34,1717619.06,3131344.02,1726176.74,22752.53,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Jan-2024,Ahmedabad,"Garcia, Garcia and Watkins",Inactive,West,13458,4760894.26,1427338.82,3492965.6,1583467.09,1762294.3,503508.43,29719.44,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Feb-2024,Ahmedabad,"Garcia, Garcia and Watkins",Inactive,West,8649,2703706.42,577659.23,2225286.77,747379.19,1376806.7,103957.91,27422.76,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Mar-2024,Ahmedabad,"Garcia, Garcia and Watkins",Inactive,West,8628,2885579.94,762758.67,2155534.42,858745.31,1176238.84,-82676.69,11282.71,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Oct-2023,Ahmedabad,Hopkins-Singleton,Inactive,South,10512,4376735.56,868843.74,3609851.34,1482056.28,2026614.42,718957.37,25659.16,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
